text,label,note
"Compared finishing times for people who did the club's structured plan against those who self-coached. Structured group averaged 6 minutes faster, but they also averaged 8 more miles a week. The plan may just be a mileage delivery mechanism.",analysis,provided practice data
"Three of my last five injuries came within two weeks of a shoe change. I'm not saying the shoes caused it, but I've stopped changing models in a build-up.",analysis,provided practice data
"Split the field by finish time and looked at DNF rates. Under 3:30, about 1%. Over 5 hours, about 9%. The cutoff is at 6 hours and the aid stations start closing at 5:15, which might explain more of that than fitness does.",analysis,provided practice data
"Elevation gain on the official profile is 340m. My watch says 410m and so do the four other people I've compared with. The profile is either smoothed or wrong, and it matters for pacing the last 10k.",analysis,provided practice data
"Went through five years of my own training. Every year my best race followed a block with at least eight weeks of uninterrupted running. Every year I got injured, it was in a week where I'd added both mileage and intensity.",analysis,provided practice data
"The pace group at 3:30 finished in 3:34 last year and 3:31 the year before. If you're using them as a safety net, know that the net has a hole in it roughly every other year.",analysis,provided practice data
"Bought a treadmill in January and my outdoor pace got worse by about 10 seconds a mile through February. Same heart rate, same effort. I think the treadmill was flattering me on effort and I'd stopped running hills entirely.",analysis,provided practice data
"Twelve weeks of doubles versus twelve weeks of single runs at the same weekly volume. Doubles block: more consistent, no missed days, race 90 seconds faster. Singles block: two missed weeks from fatigue. For me the split makes the volume survivable.",analysis,provided practice data
Super shoes have ruined amateur racing. Times mean nothing now and everyone knows it.,hot_take,provided practice data
Anyone running more than 60 miles a week without a coach is just accumulating injuries on a schedule.,hot_take,provided practice data
The marathon is overrated as a distance. The half is where the actual racing happens and always has been.,hot_take,provided practice data
Heart rate training is a fad that sells watches. Run by feel like people did for eighty years.,hot_take,provided practice data
This course is the hardest in the region and it isn't close.,hot_take,provided practice data
Strength training is a distraction for distance runners. The time is better spent running.,hot_take,provided practice data
Every popular training plan is the same plan with the weeks shuffled.,hot_take,provided practice data
Racing more than twice a year is how you stay mediocre forever.,hot_take,provided practice data
The best runners in this forum are all people who never post their training.,hot_take,provided practice data
Negative splitting is a myth that people repeat because it sounds disciplined.,hot_take,provided practice data
Trail running has better people and worse racing. Both of those are obvious to anyone who's done both.,hot_take,provided practice data
A sub-3 marathon is more impressive than most people's entire athletic career and runners undersell it constantly.,hot_take,provided practice data
Nobody needs a gel before 90 minutes. The whole fuelling industry is built on people panicking.,hot_take,provided practice data
Track workouts are for people who like feeling fast more than getting fast.,hot_take,provided practice data
The entry fees are a scandal and everyone's decided to be fine with it.,hot_take,provided practice data
"Anyone who says they enjoy the marathon distance is describing the finish, not the race.",hot_take,provided practice data
This forum massively overrates mileage and underrates sleep.,hot_take,provided practice data
The 5k is the only honest distance. Everything longer is a logistics competition.,hot_take,provided practice data
"Coaches mostly provide accountability, not expertise, and the good ones would admit it.",hot_take,provided practice data
Running in the cold is straightforwardly better and the people who disagree haven't dressed properly.,hot_take,provided practice data
Just got back from the long run and I cannot feel my hands. Worth it though.,reaction,provided practice data
Watching this finish live and I'm genuinely shaking. What a race.,reaction,provided practice data
Missed my goal by eleven seconds. Eleven. I'm going to be thinking about that for a month.,reaction,provided practice data
Woke up to snow on race morning. Absolutely gutted.,reaction,provided practice data
First time under 20 for the 5k and I nearly cried at the finish line. Four years I've been chasing that.,reaction,provided practice data
Well that was miserable. Twenty miles into a headwind and I'm questioning everything.,reaction,provided practice data
Got my entry! Been refreshing that page for forty minutes.,reaction,provided practice data
Achilles is sore again and I want to throw something.,reaction,provided practice data
Just watched someone in a full costume run past me at mile 20 and I've never felt worse about myself.,reaction,provided practice data
That last kilometre was the best I've felt in a race in years. Still buzzing.,reaction,provided practice data
Rained the entire four hours. Every single minute. I'm never doing this again and I've already entered next year.,reaction,provided practice data
My watch died at mile 18 and I finished on feel. Somehow ran my fastest last 10k.,reaction,provided practice data
Standing at the finish waiting for my sister and I'm more nervous than I was for my own race.,reaction,provided practice data
Two weeks out and I've picked up a cold. Timing could not be worse.,reaction,provided practice data
Absolutely buried myself on that tempo and I regret nothing.,reaction,provided practice data
Saw the 3:00 pacer go past at halfway and knew immediately it wasn't my day.,reaction,provided practice data
"Legs are wrecked, back is fine, and I have no idea what that means.",reaction,provided practice data
Just signed up for my first marathon and I'm equal parts excited and terrified.,reaction,provided practice data
Finished. Sat down on the kerb. Have not moved in ten minutes.,reaction,provided practice data
"Beautiful morning for it, cannot complain about anything today.",reaction,provided practice data
